common_name	genome
dengue virus	Dengue_virus_3-tax11069-GCF_000866625.1_ViralProj15598_genomic.fna
dengue virus	Dengue_virus_4-tax11070-GCF_000865065.1_ViralProj15599_genomic.fna
zika virus	Zika_virus_strain_MR_766-tax64320-GCF_000882815.3_ViralProj36615_genomic.fna
zika virus	Zika_virus_strain_Natal_RGN-tax64320-GCF_002366285.1_ViralProj411812_genomic.fna
Hepatitis E 	Hepatitis_E_virus_strain_Xinjiang-tax12461-GCF_000861105.1_ViralProj15435_genomic.fna
rhinovirus	Rhinovirus_A-tax147711-GCF_000862245.1_ViralProj15330_genomic.fna
rhinovirus	Rhinovirus_B14-tax12131-GCF_000861265.1_ViralProj15309_genomic.fna
rhinovirus	Rhinovirus_C_strain_024-tax463676-GCF_000872325.1_ViralProj27901_genomic.fna
respiratory syncytial virus	Respiratory_syncytial_virus_strain_S2_ts1C-tax12814-GCF_000856445.1_ViralProj15004_genomic.fna
respiratory syncytial virus	Human_orthopneumovirus_strain_B1-tax11250-GCF_000855545.1_ViralProj15003_genomic.fna
respiratory syncytial virus	Human_orthopneumovirus-tax11250-GCF_002815475.1_ASM281547v1_genomic.fna
parainfluenza	Human_parainfluenza_virus_4a_strain_M_25-tax11224-GCF_000910675.1_ViralProj214365_genomic.fna
parainfluenza	Human_respirovirus_1_strain_Washington_1964-tax12730-GCF_000848705.1_ViralProj14743_genomic.fna
parainfluenza	Bovine_respirovirus_3-tax11215-GCF_000854745.1_ViralProj15001_genomic.fna
parainfluenza	Human_respirovirus_3-tax11216-GCF_000850205.1_ViralProj14706_genomic.fna
influenza A	Influenza_A_virus_A_California_07_2009_H1N1-tax641809-GCF_001343785.1_ViralMultiSegProj274766_genomic.fna
influenza A	Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1-tax93838-GCF_000864105.1_ViralMultiSegProj15617_genomic.fna
influenza A	Influenza_A_virus_A_Hong_Kong_1073_99_H9N2-tax130760-GCF_000851145.1_ViralMultiSegProj14892_genomic.fna
influenza A	Influenza_A_virus_A_Shanghai_02_2013_H7N9-tax1332244-GCF_000928555.1_ViralMultiSegProj274585_genomic.fna
influenza A	Influenza_A_virus_A_Korea_426_1968_H2N2-tax488241-GCF_000866645.1_ViralMultiSegProj15620_genomic.fna
influenza A	Influenza_A_virus_A_New_York_392_2004_H3N2-tax335341-GCF_000865085.1_ViralMultiSegProj15622_genomic.fna
influenza A	Influenza_A_virus_A_Puerto_Rico_8_1934_H1N1-tax211044-GCF_000865725.1_ViralMultiSegProj15521_genomic.fna
influenza A	Influenza_A_virus_A_Shanghai_02_2013_H7N9-tax1332244-GCF_000928555.1_ViralMultiSegProj274585_genomic.fna
human bocavirus	Human_bocavirus_2c_PK-tax1511882-GCF_000882675.1_ViralProj33891_genomic.fna
human bocavirus	Human_bocavirus_3_strain_W471-tax638313-GCF_000882855.1_ViralProj37291_genomic.fna
human bocavirus	Human_bocavirus_4_NI_strain_HBoV4_NI_385-tax1511883-GCF_000886375.1_ViralProj38243_genomic.fna
human metapneumovirus	Human_metapneumovirus-tax162145-GCF_002815375.1_ASM281537v1_genomic.fna
astrovirus	Human_astrovirus_BF34-tax1518575-GCF_000923215.1_ViralProj255104_genomic.fna
astrovirus	Human_astrovirus-tax1868658-GCF_000861865.1_ViralProj15436_genomic.fna
measles	Measles_morbillivirus_strain_Ichinose_B95a-tax11234-GCF_000854845.1_ViralProj15025_genomic.fna
HKU	Human_coronavirus_HKU1-tax290028-GCF_000858765.1_ViralProj15139_genomic.fna
OC43	Human_coronavirus_OC43_strain_ATCC_VR_759-tax31631-GCF_003972325.1_ASM397232v1_genomic.fna
